el_0001.wav|έχεις είκοσι εννέα αδιάβαστες ειδοποιήσεις.
el_0002.wav|καταχωρήθηκε με ημερομηνία επτά απριλίου δύο χιλιάδες είκοσι πέντε.
el_0003.wav|παρακράτηση τέσσερα τοις εκατό
el_0004.wav|προγραμματίστηκε για τις επτά ακριβώς.
el_0005.wav|ετοίμασα ζιπ με επτακόσια εξήντα τέσσερα πι ντι εφ παραστατικά.
el_0006.wav|ετοίμασα ζιπ με τριακόσια εννέα πι ντι εφ παραστατικά.
el_0007.wav|το αντίγραφο ασφαλείας είναι επτακόσια ογδόντα επτά κόμμα ένα μεγκαμπάιτ.
el_0008.wav|έφτιαξα πρόχειρο τιμολόγιο για τον, ογδόντα δύο, εβδομήντα πέντε, είκοσι έξι, εκατόν ογδόντα.
el_0009.wav|ακυρώθηκε το παραστατικό με μαρκ, σαράντα οκτώ, πενήντα ένα, ογδόντα οκτώ, ογδόντα, μηδέν επτά, εβδομήντα τέσσερα, διακόσια ενενήντα δύο.
el_0010.wav|έφτιαξα πρόχειρο τιμολόγιο για τον, πενήντα δύο, σαράντα ένα, εξήντα ένα, τετρακόσια τριάντα τρία.
el_0011.wav|έκπτωση δεκατρία τοις εκατό στο σύνολο.
el_0012.wav|αφιμί, εξήντα επτά, μηδέν εννέα, ενενήντα επτά, πεντακόσια οκτώ
el_0013.wav|νέο παραστατικό από την ααδέ, σύνολο δώδεκα χιλιάδες πεντακόσια σαράντα επτά ευρώ.
el_0014.wav|αφιμί, πενήντα τρία, ενενήντα έξι, δεκαπέντε, πεντακόσια εννέα
el_0015.wav|καταχωρήθηκε με ημερομηνία έντεκα σεπτεμβρίου δύο χιλιάδες είκοσι οκτώ.
el_0016.wav|επικοινωνία στο, εξήντα εννέα, ογδόντα δύο, ενενήντα ένα, εξήντα πέντε, εβδομήντα τρία.
el_0017.wav|απόδειξη παροχής υπηρεσιών
el_0018.wav|βρέθηκαν διακόσια ογδόντα δύο παραστατικά στον φάκελο και σημειώθηκαν ως ελήφθη.
el_0019.wav|βρέθηκαν εξήντα οκτώ παραστατικά στον φάκελο και σημειώθηκαν ως ελήφθη.
el_0020.wav|εκδόθηκε στις είκοσι οκτώ δεκεμβρίου δύο χιλιάδες είκοσι έξι.
el_0021.wav|το τιμολόγιο είναι πεντακόσια ογδόντα τέσσερα ευρώ και πενήντα λεπτά με φιπιά.
el_0022.wav|εξήγαγα τα παραστατικά σε έξελ.
el_0023.wav|βρήκα τριακόσια εξήντα δύο παραστατικά τύπου δεκατέσσερα τελεία πέντε.
el_0024.wav|αναζήτηση στην ααδέ για αφιμί, είκοσι πέντε, μηδέν δύο, πενήντα πέντε, εννιακόσια πενήντα έξι.
el_0025.wav|το παραστατικό εκδόθηκε με μαρκ, σαράντα τέσσερα, είκοσι οκτώ, εξήντα, ογδόντα τρία, τριάντα τέσσερα, μηδέν τέσσερα, τετρακόσια δώδεκα.
el_0026.wav|ημερομηνία, πρώτη ιουλίου δύο χιλιάδες είκοσι έξι
el_0027.wav|το αντίγραφο ασφαλείας είναι τριακόσια τριάντα πέντε κόμμα πέντε μεγκαμπάιτ.
