en_0001.wav|Your invoice has been saved as a draft.
en_0002.wav|The document number is four hundred billion, fourteen million.
en_0003.wav|Total amount: eight hundred and fifteen euro and fifty cents.
en_0004.wav|The customer has an outstanding balance of one thousand two hundred euro.
en_0005.wav|I only prepare drafts. You press the red button to issue.
en_0006.wav|The tax office is not responding right now.
en_0007.wav|There is no internet connection on this computer.
en_0008.wav|I found three customers matching that name.
en_0009.wav|Value added tax, twenty four percent.
en_0010.wav|Withholding tax, twenty percent, on services.
en_0011.wav|Series alpha, number one hundred and seven.
en_0012.wav|Issued on the third of February, two thousand twenty six.
en_0013.wav|The ledger has been sent to the customer by email.
en_0014.wav|Backup finished. Ninety four megabytes were uploaded.
en_0015.wav|Opening the customer card now.
